"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "JSON with Comments", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\1-git\prod\dev-soodam\src\icons\svgs\more.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\note-favorite.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\1-git\prod\dev-soodam\src\icons\svgs\note-text.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\notification-bing.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\one-finger-swipe-left (1).svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\one-finger-swipe-left (2).svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\one-finger-swipe-left copy.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\one-finger-swipe-left.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\people.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\1-git\prod\dev-soodam\src\icons\svgs\profile-add.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\profile-no-tick.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\profile-tick-green.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\profile-tick.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\repeat.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\search-normal.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\1-git\prod\dev-soodam\src\icons\svgs\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\1-git\prod\dev-soodam\src\icons\svgs\sms-edit.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\sms-edit1.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\task-square.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\ticket-discount.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\ticket-star.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\ticket-star2.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\user-edit.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\user-edit2.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\1-git\prod\dev-soodam\src\icons\svgs\video.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\icons\svgs\wallet.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\1-git\prod\dev-soodam\src\icons\svgs\warning-22.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\1-git\prod\dev-soodam\src\mocks\browser.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\1-git\prod\dev-soodam\src\mocks\handlers.ts", "TypeScript", 2146, 0, 0, 0, 0, 0, 0, 0, 144, 118, 2408
"d:\1-git\prod\dev-soodam\src\mocks\server.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\1-git\prod\dev-soodam\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 4, 8, 57
"d:\1-git\prod\dev-soodam\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 1, 3, 94
"d:\1-git\prod\dev-soodam\src\pages\api\hello.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
